No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
35065,2014,1,1,0,24,-20,7,1014,NW,143.48,0,0
35066,2014,1,1,1,53,-20,7,1013,NW,147.5,0,0
35067,2014,1,1,2,65,-20,6,1013,NW,151.52,0,0
35068,2014,1,1,3,70,-20,6,1013,NW,153.31,0,0
35069,2014,1,1,4,79,-18,3,1012,cv,0.89,0,0
35070,2014,1,1,5,92,-18,4,1012,NW,4.02,0,0
35071,2014,1,1,6,106,-19,6,1012,NW,8.94,0,0
35072,2014,1,1,7,75,-19,6,1013,NW,16.09,0,0
35073,2014,1,1,8,58,-18,6,1013,NW,21.9,0,0
35074,2014,1,1,9,33,-18,7,1014,NW,26.82,0,0
35075,2014,1,1,10,51,-18,8,1015,NW,31.74,0,0
35076,2014,1,1,11,32,-18,9,1015,NW,39.79,0,0
35077,2014,1,1,12,23,-17,10,1015,NW,48.73,0,0
35078,2014,1,1,13,28,-18,11,1014,NW,55.88,0,0
35079,2014,1,1,14,23,-17,11,1014,NW,63.93,0,0
35080,2014,1,1,15,24,-17,11,1014,NW,71.08,0,0
35081,2014,1,1,16,26,-17,11,1014,NW,76.89,0,0
35082,2014,1,1,17,26,-16,10,1015,NW,81.81,0,0
35083,2014,1,1,18,27,-16,9,1015,NW,84.94,0,0
35084,2014,1,1,19,43,-16,9,1016,SE,1.79,0,0
35085,2014,1,1,20,62,-14,3,1017,SE,2.68,0,0
35086,2014,1,1,21,70,-14,0,1017,NE,1.79,0,0
35087,2014,1,1,22,81,-12,-1,1018,SE,0.89,0,0
35088,2014,1,1,23,111,-12,0,1019,NW,1.79,0,0
35089,2014,1,2,0,144,-13,-2,1019,NE,0.89,0,0
35090,2014,1,2,1,170,-12,-4,1019,cv,0.89,0,0
35091,2014,1,2,2,174,-12,-4,1019,cv,1.34,0,0
35092,2014,1,2,3,174,-12,-4,1019,NW,0.89,0,0
35093,2014,1,2,4,172,-12,-5,1020,cv,0.89,0,0
35094,2014,1,2,5,149,-10,-2,1020,SE,1.79,0,0
35095,2014,1,2,6,166,-7,-2,1020,SE,3.58,0,0
35096,2014,1,2,7,187,-9,-5,1020,NE,0.89,0,0
35097,2014,1,2,8,107,-9,-5,1021,NW,3.13,0,0
35098,2014,1,2,9,114,-7,-2,1021,NW,4.92,0,0
35099,2014,1,2,10,108,-7,2,1021,NW,6.71,0,0
35100,2014,1,2,11,102,-8,4,1020,cv,0.89,0,0
35101,2014,1,2,12,95,-8,5,1019,cv,1.78,0,0
35102,2014,1,2,13,127,-9,7,1017,cv,2.67,0,0
35103,2014,1,2,14,125,-9,7,1016,cv,4.46,0,0
35104,2014,1,2,15,128,-10,7,1016,cv,5.35,0,0
35105,2014,1,2,16,146,-10,6,1016,cv,5.8,0,0
35106,2014,1,2,17,165,-9,4,1016,cv,6.69,0,0
35107,2014,1,2,18,173,-8,3,1016,cv,7.58,0,0
35108,2014,1,2,19,195,-9,1,1016,cv,8.47,0,0
35109,2014,1,2,20,239,-8,0,1017,cv,9.36,0,0
35110,2014,1,2,21,232,-8,0,1017,SE,0.89,0,0
35111,2014,1,2,22,242,-8,-1,1017,NE,1.79,0,0
35112,2014,1,2,23,269,-7,-1,1018,NW,4.02,0,0
35113,2014,1,3,0,264,-9,0,1018,NW,7.15,0,0
35114,2014,1,3,1,220,-9,1,1018,cv,0.45,0,0
35115,2014,1,3,2,146,-9,0,1019,NW,4.02,0,0
35116,2014,1,3,3,34,-9,1,1019,cv,0.89,0,0
35117,2014,1,3,4,34,-9,-2,1020,NW,3.13,0,0
35118,2014,1,3,5,35,-9,-1,1020,NW,7.15,0,0
35119,2014,1,3,6,45,-13,0,1020,cv,0.89,0,0
35120,2014,1,3,7,43,-13,-1,1022,NW,3.13,0,0
35121,2014,1,3,8,43,-12,-1,1023,NW,7.15,0,0
35122,2014,1,3,9,36,-13,4,1024,NW,11.17,0,0
35123,2014,1,3,10,36,-16,7,1025,NW,14.3,0,0
35124,2014,1,3,11,23,-16,8,1024,NW,17.43,0,0
35125,2014,1,3,12,25,-16,8,1023,NW,20.56,0,0
35126,2014,1,3,13,29,-17,9,1022,NW,22.35,0,0
35127,2014,1,3,14,26,-18,9,1022,NE,1.79,0,0
35128,2014,1,3,15,21,-17,8,1022,NE,3.58,0,0
35129,2014,1,3,16,25,-17,7,1022,SE,1.79,0,0
35130,2014,1,3,17,31,-17,5,1023,SE,3.58,0,0
35131,2014,1,3,18,43,-17,3,1023,cv,0.45,0,0
35132,2014,1,3,19,46,-17,3,1024,cv,1.34,0,0
35133,2014,1,3,20,50,-16,1,1024,cv,2.23,0,0
35134,2014,1,3,21,68,-13,-1,1024,cv,2.68,0,0
35135,2014,1,3,22,60,-11,-1,1025,SE,1.79,0,0
35136,2014,1,3,23,103,-8,-1,1025,SE,4.92,0,0
35137,2014,1,4,0,85,-6,-1,1026,SE,6.71,0,0
35138,2014,1,4,1,86,-6,-2,1025,SE,8.5,0,0
35139,2014,1,4,2,89,-7,-2,1025,cv,0.89,0,0
35140,2014,1,4,3,77,-7,-2,1025,SE,1.79,0,0
35141,2014,1,4,4,77,-9,-5,1025,cv,0.45,0,0
35142,2014,1,4,5,75,-9,-5,1025,cv,1.34,0,0
35143,2014,1,4,6,80,-9,-6,1025,cv,1.79,0,0
35144,2014,1,4,7,86,-7,-4,1025,SE,0.89,0,0
35145,2014,1,4,8,95,-7,-3,1025,cv,0.89,0,0
35146,2014,1,4,9,101,-6,-2,1025,SE,0.89,0,0
35147,2014,1,4,10,132,-6,-1,1025,SE,1.78,0,0
35148,2014,1,4,11,153,-5,-1,1024,SE,3.57,0,0
35149,2014,1,4,12,173,-6,0,1023,NE,1.79,0,0
35150,2014,1,4,13,178,-7,1,1021,cv,0.89,0,0
35151,2014,1,4,14,176,-7,2,1020,SE,1.79,0,0
35152,2014,1,4,15,209,-7,2,1020,cv,0.89,0,0
35153,2014,1,4,16,219,-7,2,1020,NW,1.79,0,0
35154,2014,1,4,17,224,-7,1,1020,NW,3.58,0,0
35155,2014,1,4,18,212,-8,-2,1020,NW,6.71,0,0
35156,2014,1,4,19,221,-8,-3,1021,NW,8.5,0,0
35157,2014,1,4,20,221,-8,-4,1021,NW,10.29,0,0
35158,2014,1,4,21,217,-8,-4,1021,cv,0.89,0,0
35159,2014,1,4,22,203,-8,-4,1021,cv,1.78,0,0
35160,2014,1,4,23,221,-9,-5,1021,NW,1.79,0,0
35161,2014,1,5,0,192,-8,-4,1021,NW,3.58,0,0
35162,2014,1,5,1,183,-10,-6,1022,NW,6.71,0,0
35163,2014,1,5,2,175,-8,-5,1022,NW,10.73,0,0
35164,2014,1,5,3,177,-9,-6,1022,NW,14.75,0,0
35165,2014,1,5,4,183,-10,-7,1023,NW,17.88,0,0
35166,2014,1,5,5,155,-10,-7,1023,NW,22.8,0,0
35167,2014,1,5,6,151,-9,-6,1023,NW,26.82,0,0
35168,2014,1,5,7,137,-10,-7,1024,NW,29.95,0,0
35169,2014,1,5,8,109,-8,-4,1024,NW,34.87,0,0
35170,2014,1,5,9,140,-8,-2,1025,NW,39.79,0,0
35171,2014,1,5,10,117,-8,1,1026,NW,42.92,0,0
35172,2014,1,5,11,128,-12,5,1026,NW,46.05,0,0
35173,2014,1,5,12,54,-14,5,1025,NE,3.13,0,0
35174,2014,1,5,13,34,-14,5,1024,NE,6.26,0,0
35175,2014,1,5,14,32,-15,6,1024,NE,9.39,0,0
35176,2014,1,5,15,28,-15,6,1024,NE,12.52,0,0
35177,2014,1,5,16,29,-15,6,1024,SE,3.13,0,0
35178,2014,1,5,17,37,-15,3,1024,SE,4.92,0,0
35179,2014,1,5,18,46,-15,1,1025,SE,6.71,0,0
35180,2014,1,5,19,54,-12,-1,1025,cv,0.89,0,0
35181,2014,1,5,20,53,-12,-2,1026,cv,1.78,0,0
35182,2014,1,5,21,47,-12,0,1026,SE,4.02,0,0
35183,2014,1,5,22,112,-9,-1,1027,SE,7.15,0,0
35184,2014,1,5,23,125,-8,-2,1028,SE,8.94,0,0
35185,2014,1,6,0,128,-7,-3,1028,cv,0.89,0,0
35186,2014,1,6,1,126,-5,-2,1028,cv,1.78,0,0
35187,2014,1,6,2,153,-5,-1,1028,cv,2.67,0,0
35188,2014,1,6,3,157,-5,-1,1028,cv,3.12,1,0
35189,2014,1,6,4,144,-5,-1,1027,SE,0.89,2,0
35190,2014,1,6,5,138,-5,-1,1027,cv,0.89,3,0
35191,2014,1,6,6,128,-5,-1,1027,SE,1.79,0,0
35192,2014,1,6,7,126,-5,-1,1027,SE,3.58,0,0
35193,2014,1,6,8,126,-5,-1,1027,SE,5.37,0,0
35194,2014,1,6,9,159,-6,-1,1028,SE,8.5,1,0
35195,2014,1,6,10,149,-5,-1,1028,SE,11.63,2,0
35196,2014,1,6,11,123,-4,0,1027,SE,15.65,0,0
35197,2014,1,6,12,150,-4,0,1026,SE,18.78,0,0
35198,2014,1,6,13,146,-5,0,1025,SE,22.8,0,0
35199,2014,1,6,14,145,-5,0,1024,SE,25.93,0,0
35200,2014,1,6,15,160,-5,0,1024,SE,27.72,0,0
35201,2014,1,6,16,148,-5,0,1024,SE,29.51,0,0
35202,2014,1,6,17,156,-5,0,1024,SE,30.4,0,0
